Date,Price,Open,High,Low,Volume,Chg%
12-09-2022,554.9,554.9,558.6,551.25,9.68M,0.28%
09-09-2022,553.35,549.65,557,548,18.59M,1.60%
08-09-2022,544.65,536,546.3,535.5,12.24M,2.21%
07-09-2022,532.85,534.4,537.45,531.55,8.45M,-0.92%
06-09-2022,537.8,538,542.7,534.1,8.66M,-0.20%
05-09-2022,538.9,537,540.8,536.3,7.82M,0.41%
02-09-2022,536.7,537,537.85,531.25,10.02M,0.64%
01-09-2022,533.3,522.25,540.9,522.25,16.67M,0.39%
30-08-2022,531.25,518.2,532.5,517.95,14.84M,3.19%
29-08-2022,514.85,511.3,517,508.75,9.42M,-1.71%
26-08-2022,523.8,523.8,529.5,522.2,12.86M,0.65%
25-08-2022,520.4,521.95,528.3,518.5,15.47M,0.21%
24-08-2022,519.3,519,523,512.3,11.93M,-0.50%
23-08-2022,521.9,508.25,524,508.25,8.60M,2.07%
22-08-2022,511.3,519,519.9,510,9.68M,-1.74%
19-08-2022,520.35,532,533.65,518.5,11.09M,-2.25%
18-08-2022,532.35,526.85,534.8,526.2,9.01M,0.80%
17-08-2022,528.15,528.85,530.55,524.35,12.05M,0.42%
16-08-2022,525.95,533.3,533.85,525,10.72M,-0.90%
12-08-2022,530.7,525.7,531.8,525.15,12.15M,1.13%
11-08-2022,524.75,520,526,517.2,13.86M,1.95%
10-08-2022,514.7,521.55,523.5,513.4,16.90M,-1.10%
08-08-2022,520.4,524,524,513.85,32.57M,-2.01%
05-08-2022,531.05,535.55,542.9,529,21.11M,-0.41%
04-08-2022,533.25,543.65,544,524.2,18.07M,-1.41%
03-08-2022,540.85,541.9,546.4,534.65,24.26M,-0.23%
02-08-2022,542.1,531.9,544.9,531.1,16.85M,1.56%
01-08-2022,533.75,529.05,535,526.4,8.30M,1.02%
29-07-2022,528.35,535.05,537,526.75,11.92M,-0.77%
28-07-2022,532.45,533.2,537.5,529.55,12.16M,0.80%
27-07-2022,528.2,515.3,529.95,512.25,15.10M,2.72%
26-07-2022,514.2,517.7,520.8,513.1,8.86M,-0.70%
25-07-2022,517.8,513.4,519,509.15,10.23M,0.80%
22-07-2022,513.7,513.45,520.2,511.2,14.70M,0.32%
21-07-2022,512.05,509.8,513.4,506.75,13.81M,0.68%
20-07-2022,508.6,501,510.6,500.4,19.28M,2.14%
19-07-2022,497.95,488,498.55,488,11.72M,1.56%
18-07-2022,490.3,484.55,491.5,482.1,9.93M,2.34%
15-07-2022,479.1,482.55,484.4,474.7,6.95M,-0.05%
14-07-2022,479.35,486.6,488.9,476.8,9.39M,-1.47%
13-07-2022,486.5,487.75,492.45,484.55,8.21M,0.32%
12-07-2022,484.95,485,491.35,483.1,7.36M,-0.67%
11-07-2022,488.2,485,491.3,485,7.70M,-0.07%
08-07-2022,488.55,489,489.9,485.15,9.06M,0.37%
07-07-2022,486.75,484,488.25,481.6,11.50M,1.42%
06-07-2022,479.95,475.15,481,473.9,12.06M,1.65%
05-07-2022,472.15,475.15,480,471,12.00M,-0.27%
04-07-2022,473.45,466.85,474.15,466.85,9.19M,1.41%
01-07-2022,466.85,463.35,468.8,460.55,9.41M,0.20%
30-06-2022,465.9,459,469.3,458.6,16.93M,1.48%
29-06-2022,459.1,460,462.7,458,11.80M,-1.11%
28-06-2022,464.25,458.9,465.75,458,13.26M,0.66%
27-06-2022,461.2,459.95,464.85,458.05,9.51M,1.53%
24-06-2022,454.25,455.8,460.35,453.2,10.83M,0.63%
23-06-2022,451.4,449,456.45,446,12.23M,0.84%
22-06-2022,447.65,448.75,451.2,444.65,11.07M,-0.69%
21-06-2022,450.75,439.5,454.95,437.6,13.80M,3.69%
20-06-2022,434.7,441.5,443.45,430.7,12.37M,-1.43%
17-06-2022,441,440,447.55,437.25,14.33M,-0.14%
16-06-2022,441.6,455.15,457.75,440.15,10.78M,-2.16%
15-06-2022,451.35,448.95,455.45,448.6,9.92M,0.73%
14-06-2022,448.1,445,449.25,443.35,11.35M,0.50%
13-06-2022,445.85,454,454.05,442.1,13.43M,-3.46%
10-06-2022,461.85,462,464.15,458.6,8.62M,-1.09%
09-06-2022,466.95,468.95,470.9,462.45,12.64M,-0.92%
08-06-2022,471.3,466.6,475.55,463.2,17.17M,1.70%
